id,is_duplicate
300000,0
300001,1
300002,0
300003,1
300004,1
300005,1
300006,1
300008,1
300009,1
300010,1
300011,0
300012,0
300013,1
300014,0
300015,1
300016,1
300018,1
300019,0
300021,0
300022,1
300023,1
300024,1
300025,0
300026,1
300027,1
300028,0
300029,0
300030,1
300031,1
300032,0
300033,0
300034,0
300035,0
300036,0
300037,1
300038,1
300039,1
300040,1
300041,0
300042,1
300043,1
300044,0
300045,0
300048,1
300049,1
300050,1
300051,0
300052,1
300053,0
300054,1
300055,1
300057,1
300058,0
300059,1
300061,1
300062,0
300063,1
300064,1
300065,0
300066,1
300067,1
300068,1
300069,1
300070,1
300071,0
300072,0
300073,1
300074,1
300075,1
300076,1
300077,0
300079,0
300080,1
300081,1
300082,0
300083,1
300084,1
300085,1
300086,1
300088,0
300089,1
300090,1
300091,1
300092,1
300094,1
300095,0
300096,0
300097,1
300098,0
300099,1
300100,0
300102,0
300103,0
300104,0
300105,0
300107,0
300108,1
300109,1
300110,1
300111,1
300112,1
300114,0
300115,0
300117,1
300118,1
300119,0
300120,1
300121,1
300123,1
300126,1
300127,0
300128,0
300129,1
300130,1
300131,1
300132,1
300133,1
300134,1
300135,1
300136,0
300137,1
300138,0
300139,0
300140,0
300141,1
300142,1
300143,1
300144,1
300145,0
300146,0
300147,1
300148,0
300149,1
300150,1
300151,0
300152,1
300153,1
300154,0
300155,0
300156,1
300157,1
300159,0
300160,1
300161,1
300162,1
300163,1
300164,1
300166,0
300167,0
300168,1
300169,0
300170,0
300171,1
300173,1
300174,0
300175,1
300178,1
300179,0
300181,0
300182,1
300185,1
300187,1
300188,0
300189,1
300190,0
300191,0
300192,1
300194,1
300196,1
300197,1
300200,0
300202,1
300203,1
300204,0
300205,1
300206,1
300207,1
300208,1
300209,0
300210,1
300212,0
300213,1
300214,1
300215,0
300216,1
300217,1
300218,0
300219,0
300221,0
300223,1
300224,1
300226,1
300227,0
300228,0
300229,0
300230,1
300231,0
300232,1
300234,1
300235,0
300236,1
300237,1
300238,1
300239,1
300241,1
300243,1
300244,1
300246,1
300248,0
300250,0
300251,1
300252,0
300253,1
300254,1
300257,1
300258,0
300259,1
300261,1
300262,0
300263,0
300264,1
300265,1
300266,1
300267,1
300269,0
300270,0
300271,1
300273,0
300274,1
300275,0
300276,0
300277,1
300279,1
300280,1
300281,1
300282,0
300283,0
300285,1
300286,1
300287,1
300288,0
300289,1
300292,0
300293,1
300294,1
300295,1
300296,1
300298,1
300301,0
300302,1
300303,1
300304,0
300306,0
300307,0
300310,1
300311,1
300312,1
300313,1
300314,1
300315,0
300316,1
300317,1
300318,0
300319,1
300321,0
300322,1
300323,1
300325,1
300326,0
300327,1
300328,0
300329,1
300332,1
300333,0
300334,0
300335,1
300337,1
300338,1
300339,0
300340,0
300341,1
300342,0
300343,0
300344,0
300345,0
300346,0
300347,1
300348,1
300350,0
300351,1
300352,0
300353,0
300354,1
300355,0
300356,0
300357,1
300358,1
300359,0
300360,1
300361,1
300362,1
300363,0
300365,0
300366,1
300367,1
300368,0
300369,0
300370,1
300371,1
300372,0
300373,0
300375,1
300376,1
300378,1
300379,1
300380,1
300381,0
300382,1
300383,1
300385,1
300386,1
300388,1
300389,0
300390,0
300391,1
300392,0
300393,1
300394,1
300395,1
300397,0
300398,0
300399,0
300400,1
300401,1
300402,0
300403,1
300405,1
300406,1
300409,1
300410,1
300411,1
300412,0
300413,0
300414,1
300415,0
300416,1
300417,0
300418,0
300420,1
300421,0
300422,0
300423,1
300424,1
300427,0
300428,1
300429,1
300430,1
300431,1
300433,1
300434,1
300435,0
300436,1
300437,1
300439,1
300440,1
300443,0
300444,1
300446,1
300447,1
300448,1
300449,1
300450,1
300451,1
300452,1
300453,0
300454,0
300455,1
300456,1
300457,1
300458,0
300459,1
300461,1
300462,0
300463,0
300465,1
300466,1
300467,1
300468,0
300471,1
300472,0
300473,1
300474,1
300475,0
300476,1
300477,0
300478,1
300480,0
300481,1
300482,1
300483,1
300484,1
300485,1
300486,1
300488,1
300489,1
300490,1
300491,0
300492,1
300493,1
300494,1
300495,1
300496,1
300497,1
300498,1
300500,1
300501,0
300503,1
300504,0
300505,0
300506,1
300507,1
300508,0
300509,1
300510,0
300511,1
300512,0
300513,1
